Cre07.g312002.t1.1	Cre07.g312002.t1.1; Cre17.g733986.t1.2; Cre09.g390689.t1.1; Cre16.g683954.t1.1; Cre10.g417730.t2.1; Cre01.g038376.t1.1; Cre03.g161976.t1.1	79; 68; 86; 55; 150; 68; 94	Pfam	; ; ; ; ; ; 	; ; ; ; ; ; 	; ; ; ; ; ; 	; ; ; ; ; ; 
Cre07.g312600.t2.1	Cre07.g312600.t2.1; Cre17.g740926.t1.1	287; 226	Pfam	; 	; 	; 	; 
Cre07.g312701.t1.1	Cre07.g312701.t1.1; Cre16.g660550.t1.2	1466; 1452	Pfam	PF00078; PF00078	Reverse transcriptase (RNA-dependent DNA polymerase); Reverse transcriptase (RNA-dependent DNA polymerase)	IPR000477; IPR000477	Reverse transcriptase domain; Reverse transcriptase domain
Cre07.g312817.t1.1	Cre07.g312817.t1.1; Cre07.g312833.t1.1; Cre16.g689766.t1.1; Cre10.g417741.t1.1; Cre09.g386125.t1.1; Cre12.g559554.t1.1; Cre12.g499152.t1.1; Cre13.g582100.t1.2; Cre10.g417576.t1.1; Cre01.g071297.t1.1; Cre11.g467697.t1.1; Cre03.g146847.t1.1; Cre10.g465822.t1.2; Cre01.g051482.t1.1; Cre17.g692676.t1.1; Cre11.g483301.t1.1; Cre12.g536776.t1.1; Cre01.g058156.t1.1; Cre13.g573850.t1.1; Cre03.g176440.t1.2; Cre02.g119484.t1.2; Cre03.g159083.t1.2; Cre17.g734580.t2.1; Cre06.g296912.t1.1; Cre08.g370083.t1.1; Cre09.g405105.t1.1; Cre03.g199199.t1.1; Cre13.g563876.t1.1; Cre12.g548702.t1.1; Cre17.g742116.t1.1; Cre16.g675525.t1.1	114; 110; 98; 87; 86; 104; 116; 116; 73; 153; 148; 67; 168; 63; 87; 57; 59; 80; 85; 80; 101; 96; 101; 226; 130; 94; 187; 58; 61; 91; 121	Pfam	; ; ; ; ; ; ; ; ; ; ; ; PF07282; ; ; ; ; ; ; ; ; ; ; ; ; ; PF07282; ; ; ; 	; ; ; ; ; ; ; ; ; ; ; ; Putative transposase DNA-binding domain; ; ; ; ; ; ; ; ; ; ; ; ; ; Putative transposase DNA-binding domain; ; ; ; 	; ; ; ; ; ; ; ; ; ; ; ; IPR010095; ; ; ; ; ; ; ; ; ; ; ; ; ; IPR010095; ; ; ; 	; ; ; ; ; ; ; ; ; ; ; ; Transposase IS605, OrfB, C-terminal; ; ; ; ; ; ; ; ; ; ; ; ; ; Transposase IS605, OrfB, C-terminal; ; ; ; 
Cre07.g314751.t1.1	Cre07.g314751.t1.1; Cre13.g577201.t1.1	888; 802	Pfam	; PF03372	; Endonuclease/Exonuclease/phosphatase family	; IPR005135	; Endonuclease/exonuclease/phosphatase
Cre07.g316200.t1.1	Cre07.g316200.t1.1; Cre02.g119500.t1.1	591; 576	Pfam	; 	; 	; 	; 
Cre07.g318500.t1.1	Cre07.g318500.t1.1; Cre07.g319600.t1.2	694; 794	Pfam	PF08392, PF02797; PF08392, PF08541	FAE1/Type III polyketide synthase-like protein, Chalcone and stilbene synthases, C-terminal domain; FAE1/Type III polyketide synthase-like protein, 3-Oxoacyl-[acyl-carrier-protein (ACP)] synthase III C terminal	IPR013601, IPR012328; IPR013601, IPR013747	FAE1/Type III polyketide synthase-like protein, Chalcone/stilbene synthase, C-terminal; FAE1/Type III polyketide synthase-like protein, 3-Oxoacyl-[acyl-carrier-protein (ACP)] synthase III, C-terminal
Cre07.g319320.t1.1	Cre07.g319320.t1.1; Cre07.g319400.t1.2	427; 411	Pfam	PF00291; PF00291	Pyridoxal-phosphate dependent enzyme; Pyridoxal-phosphate dependent enzyme	IPR001926; IPR001926	Pyridoxal-phosphate dependent enzyme; Pyridoxal-phosphate dependent enzyme
Cre07.g320400.t1.2	Cre07.g320450.t1.2; Cre07.g320400.t1.2	191; 191	Pfam	PF00504; PF00504	Chlorophyll A-B binding protein; Chlorophyll A-B binding protein	IPR022796; IPR022796	Chlorophyll A-B binding protein; Chlorophyll A-B binding protein
Cre07.g320700.t1.1	Cre07.g320700.t1.1; Cre07.g321150.t1.1	817; 786	Pfam	PF00211, PF07701, PF07700; PF07700, PF07701, PF00211	Adenylate and Guanylate cyclase catalytic domain, Heme NO binding associated, Haem-NO-binding; Haem-NO-binding, Heme NO binding associated, Adenylate and Guanylate cyclase catalytic domain	IPR001054, IPR011645, IPR011644; IPR011644, IPR011645, IPR001054	Adenylyl cyclase class-3/4/guanylyl cyclase, Haem NO binding associated, Heme NO-binding; Heme NO-binding, Haem NO binding associated, Adenylyl cyclase class-3/4/guanylyl cyclase
Cre07.g321951.t1.1	Cre07.g321951.t1.1; Cre17.g707700.t1.2	497; 514	Pfam	PF01566; PF01566	Natural resistance-associated macrophage protein; Natural resistance-associated macrophage protein	IPR001046; IPR001046	NRAMP family; NRAMP family
Cre07.g322600.t1.1	Cre07.g322600.t1.1; Cre07.g322850.t1.1	1686; 1642	Pfam	; 	; 	; 	; 
Cre07.g323890.t1.2	Cre07.g323890.t1.2; Cre10.g456420.t1.1; Cre16.g662052.t1.1	81; 163; 157	Pfam	; ; 	; ; 	; ; 	; ; 
Cre07.g325710.t1.1	Cre07.g325710.t1.1; Cre02.g119526.t1.1	82; 63	Pfam	; 	; 	; 	; 
Cre07.g325737.t1.1	Cre07.g325737.t1.1; Cre14.g614200.t1.2; Cre17.g745297.t1.1	397; 365; 411	Pfam	; ; 	; ; 	; ; 	; ; 
Cre07.g325740.t1.1	Cre07.g325740.t1.1; Cre07.g325741.t1.1	653; 653	Pfam	PF01384; PF01384	Phosphate transporter family; Phosphate transporter family	IPR001204; IPR001204	Phosphate transporter; Phosphate transporter
Cre07.g325758.t1.1	Cre07.g325758.t1.1; Cre10.g434550.t1.2; Cre13.g604400.t1.2; Cre04.g224667.t1.1	347; 445; 252; 282	Pfam	; ; ; 	; ; ; 	; ; ; 	; ; ; 
Cre07.g327333.t1.1	Cre07.g327333.t1.1; Cre02.g074474.t1.1; Cre17.g733986.t1.2	92; 59; 68	Pfam	; ; 	; ; 	; ; 	; ; 
Cre07.g327800.t1.1	Cre07.g327800.t1.1; Cre12.g530900.t1.2	630; 631	Pfam	PF00005, PF01061; PF00005, PF01061	ABC transporter, ABC-2 type transporter; ABC transporter, ABC-2 type transporter	IPR003439, IPR013525; IPR003439, IPR013525	ABC transporter-like, ABC-2 type transporter; ABC transporter-like, ABC-2 type transporter
Cre07.g329200.t1.2	Cre07.g329200.t1.2; Cre07.g329233.t1.1; Cre07.g329217.t1.1	77; 77; 77	Pfam	PF07717; PF07717; PF07717	Oligonucleotide/oligosaccharide-binding (OB)-fold; Oligonucleotide/oligosaccharide-binding (OB)-fold; Oligonucleotide/oligosaccharide-binding (OB)-fold	IPR011709; IPR011709; IPR011709	Domain of unknown function DUF1605; Domain of unknown function DUF1605; Domain of unknown function DUF1605
Cre07.g332050.t1.2	Cre07.g332050.t1.2; Cre03.g190400.t1.1	285; 193	Pfam	; 	; 	; 	; 
Cre07.g333570.t1.1	Cre07.g333570.t1.1; Cre01.g006614.t1.1; Cre08.g373350.t1.2; Cre10.g445275.t1.1	450; 536; 461; 409	Pfam	PF00078; PF00078; PF00078; PF00078	Reverse transcriptase (RNA-dependent DNA polymerase); Reverse transcriptase (RNA-dependent DNA polymerase); Reverse transcriptase (RNA-dependent DNA polymerase); Reverse transcriptase (RNA-dependent DNA polymerase)	IPR000477; IPR000477; IPR000477; IPR000477	Reverse transcriptase domain; Reverse transcriptase domain; Reverse transcriptase domain; Reverse transcriptase domain
Cre07.g333640.t1.1	Cre07.g333640.t1.1; Cre05.g235102.t1.1	1564; 1617	Pfam	; PF00078, PF03372	; Reverse transcriptase (RNA-dependent DNA polymerase), Endonuclease/Exonuclease/phosphatase family	; IPR000477, IPR005135	; Reverse transcriptase domain, Endonuclease/exonuclease/phosphatase
Cre07.g333711.t1.1	Cre01.g006301.t1.1; Cre07.g333711.t1.1; Cre08.g373348.t1.1	57; 57; 125	Pfam	; ; 	; ; 	; ; 	; ; 
Cre07.g333746.t1.1	Cre07.g333746.t1.1; Cre12.g484834.t1.1	1047; 1017	Pfam	PF00628; 	PHD-finger; 	IPR019787; 	Zinc finger, PHD-finger; 
