Cre07.g312002.t1.1	Cre07.g312002.t1.1; Cre09.g390689.t1.1; Cre09.g397052.t1.1; Cre01.g034875.t1.1; Cre10.g417741.t1.1	79; 86; 76; 74; 87	Pfam	; ; ; ; 	; ; ; ; 	; ; ; ; 	; ; ; ; 
Cre07.g312817.t1.1	Cre07.g312817.t1.1; Cre07.g312833.t1.1; Cre12.g559554.t1.1; Cre12.g499152.t1.1; Cre13.g582100.t1.2	114; 110; 104; 116; 116	Pfam	; ; ; ; 	; ; ; ; 	; ; ; ; 	; ; ; ; 
Cre07.g315250.t1.2	Cre07.g315250.t1.2; Cre07.g315450.t1.1; Cre07.g315432.t1.2; Cre07.g315300.t1.2	370; 366; 377; 369	Pfam	; ; ; 	; ; ; 	; ; ; 	; ; ; 
Cre07.g316150.t1.1	Cre07.g316150.t1.1; Cre14.g627411.t1.1; Cre09.g401626.t1.1	1243; 1236; 1248	Pfam	PF01753; ; 	MYND finger; ; 	IPR002893; ; 	Zinc finger, MYND-type; ; 
Cre07.g317626.t1.1	Cre07.g317626.t1.1; Cre02.g100533.t1.1; Cre02.g134124.t1.1; Cre17.g747097.t1.1; Cre10.g417450.t1.1	318; 316; 315; 308; 320	Pfam	; ; ; ; 	; ; ; ; 	; ; ; ; 	; ; ; ; 
Cre07.g319050.t1.2	Cre07.g319050.t1.2; Cre03.g153650.t1.2	101; 97	Pfam	; 	; 	; 	; 
Cre07.g319701.t1.2	Cre07.g319701.t1.2; Cre10.g435450.t1.2	443; 437	Pfam	PF00320; PF00320	GATA zinc finger; GATA zinc finger	IPR000679; IPR000679	Zinc finger, GATA-type; Zinc finger, GATA-type
Cre07.g320400.t1.2	Cre07.g320450.t1.2; Cre07.g320400.t1.2	191; 191	Pfam	PF00504; PF00504	Chlorophyll A-B binding protein; Chlorophyll A-B binding protein	IPR022796; IPR022796	Chlorophyll A-B binding protein; Chlorophyll A-B binding protein
Cre07.g322650.t1.2	Cre07.g322650.t1.2; Cre07.g322800.t1.2; Cre07.g322700.t1.2	334; 333; 331	Pfam	; ; 	; ; 	; ; 	; ; 
Cre07.g324222.t1.1	Cre07.g324222.t1.1; Cre07.g324233.t1.1	115; 110	Pfam	; 	; 	; 	; 
Cre07.g325026.t1.1	Cre07.g325026.t1.1; Cre03.g212193.t1.1	66; 61	Pfam	; 	; 	; 	; 
Cre07.g325050.t1.1	Cre07.g325050.t1.1; Cre03.g204050.t1.1	769; 768	Pfam	PF03016; PF03016	Exostosin family; Exostosin family	IPR004263; IPR004263	Exostosin-like; Exostosin-like
Cre07.g325711.t1.1	Cre07.g325711.t1.1; Cre07.g325650.t1.2	181; 186	Pfam	PF10601; PF10601	LITAF-like zinc ribbon domain; LITAF-like zinc ribbon domain	IPR006629; IPR006629	LPS-induced tumour necrosis factor alpha factor; LPS-induced tumour necrosis factor alpha factor
